               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.059292,            0.040457,            0.011474,                0.52,             0.29792,             0.24002,             0.10287,            0.050711,            0.029878,            0.010658,           0.0022196,           0.0022196,           0.0022196
                  78,            0.058598,            0.040613,            0.011522,             0.52121,             0.29715,             0.24007,             0.10322,            0.050482,            0.029857,            0.010659,           0.0021245,           0.0021245,           0.0021245
                  79,            0.057946,            0.040848,            0.011563,             0.52119,             0.29779,             0.23982,             0.10337,            0.050258,            0.029834,            0.010658,           0.0020327,           0.0020327,           0.0020327
                  80,            0.057312,            0.040139,             0.01163,             0.52104,             0.29852,             0.23935,             0.10358,            0.050039,             0.02981,            0.010657,           0.0019443,           0.0019443,           0.0019443
                  81,            0.056795,            0.040301,            0.011468,             0.52175,              0.2969,             0.23892,             0.10368,            0.049829,            0.029785,            0.010657,           0.0018594,           0.0018594,           0.0018594
                  82,            0.056019,            0.040513,            0.011519,              0.5218,             0.29738,             0.23897,             0.10379,            0.049634,             0.02976,            0.010658,           0.0017781,           0.0017781,           0.0017781
                  83,            0.055481,            0.040738,            0.011533,             0.52328,             0.29649,             0.23915,             0.10399,             0.04944,            0.029734,            0.010657,           0.0017005,           0.0017005,           0.0017005
                  84,            0.054668,             0.04058,            0.011614,             0.51161,             0.31008,             0.23913,             0.10417,            0.049254,            0.029709,            0.010657,           0.0016267,           0.0016267,           0.0016267
                  85,            0.054125,            0.040503,            0.011501,             0.51358,             0.30952,             0.23937,             0.10439,            0.049076,            0.029681,            0.010656,           0.0015566,           0.0015566,           0.0015566
                  86,            0.053833,            0.040571,            0.011602,             0.51251,             0.30983,             0.23956,             0.10465,            0.048907,            0.029653,            0.010656,           0.0014905,           0.0014905,           0.0014905
                  87,            0.053457,            0.040653,            0.011628,             0.51385,             0.30904,             0.23927,             0.10467,            0.048744,            0.029627,            0.010656,           0.0014283,           0.0014283,           0.0014283
                  88,            0.052962,            0.040645,            0.011517,              0.5166,             0.30569,             0.23909,             0.10494,            0.048587,            0.029601,            0.010655,           0.0013701,           0.0013701,           0.0013701
                  89,            0.052375,            0.040576,            0.011551,             0.51515,             0.30798,             0.23938,             0.10501,            0.048432,            0.029572,            0.010655,            0.001316,            0.001316,            0.001316
